epoch,accuracy,loss,val_accuracy,val_loss
0,0.3864,1.6534628279495238,0.2683,4.395183534379218
1,0.64346,0.996986995048523,0.4591,2.043748141094378
2,0.74782,0.7201527574539185,0.6752,1.065169543597349
3,0.80602,0.56590228931427,0.7297,0.9186029692364347
4,0.84314,0.4541562771177292,0.7959,0.656324434811902
5,0.8704,0.3730631328678131,0.6326,1.5488475629478504
6,0.89236,0.3090826846694946,0.7091,1.0626797148376514
7,0.91012,0.2586250420165062,0.7555,0.9573991948347182
8,0.9224,0.22131101829767227,0.8187,0.6958558311697783
9,0.93458,0.19088444193840026,0.7339,1.3593950434854836
