epoch,accuracy,loss,val_accuracy,val_loss
0,0.37774,1.6709945149230958,0.269,3.307904683860244
1,0.6243,1.0486469676208496,0.3388,3.9596074781600077
2,0.72986,0.7778998082351685,0.693,1.0153010441998767
3,0.7913,0.6103424071502686,0.6258,1.2829087665126582
4,0.83044,0.4982047340106964,0.765,0.8180537552210936
5,0.85584,0.41938842002391813,0.6823,1.1760280868809694
6,0.87926,0.3515423377227783,0.7956,0.7126978857881704
7,0.89996,0.29368371814727784,0.7966,0.7330609284768439
8,0.91182,0.2568049330997467,0.7915,0.837490973199249
9,0.92364,0.2224376805973053,0.7891,0.931766537154556
