epoch,accuracy,loss,time,val_accuracy,val_loss
0,0.0828,3.97206373840332,482.449,0.0579,6.551773654427498
1,0.2245,3.1001487967681887,477.251,0.1117,4.862060999414723
2,0.3471,2.4913219955444337,476.487,0.2674,3.3104908830800635
3,0.43762,2.068287849082947,477.114,0.2326,4.454857613630356
4,0.5145,1.736321402130127,477.59,0.3355,3.0070525521685365
5,0.58046,1.4719030023574828,477.143,0.3774,2.847701953474883
6,0.6361,1.249261178970337,476.658,0.414,2.7384282434062595
7,0.68622,1.0505532821655272,477.246,0.4664,2.262984904513997
8,0.73552,0.8723032968425751,477.291,0.4733,2.4740295053287675
9,0.77234,0.7241609740066528,477.928,0.4537,2.792558704971508
