epoch,accuracy,loss,time,val_accuracy,val_loss
0,0.17124,3.4766181866455077,387.932,0.0464,12.559320650282938
1,0.36982,2.3908759590911863,380.062,0.219,3.890450438116766
2,0.47518,1.926825436592102,379.841,0.3621,2.548970748664467
3,0.5478,1.6184420806884765,379.689,0.3564,2.772029166009016
4,0.61098,1.3606086418914796,380.757,0.4001,2.521198470121736
5,0.67044,1.128871792564392,379.877,0.4137,2.799843192100525
6,0.72348,0.924386671962738,380.095,0.4941,2.2559954254490555
7,0.77492,0.7399197498321534,380.163,0.4884,2.510284428383894
8,0.81648,0.5893825135993958,380.293,0.4782,2.6879030390150227
9,0.85036,0.47213259771347044,379.844,0.5127,2.576580185799082
