epoch,accuracy,loss,time,val_accuracy,val_loss
0,0.08008,4.019528532714844,358.786,0.0533,7.089944617763447
1,0.21108,3.1681125622558595,349.732,0.17,3.837863659403127
2,0.31982,2.6186291323852537,349.681,0.2379,3.3436755329180676
3,0.41246,2.189794532165527,349.045,0.2791,3.22692814905932
4,0.48932,1.8508426667785645,349.111,0.334,3.0214252061904614
5,0.5554,1.5747692150115966,348.812,0.3965,2.6769870557602804
6,0.61312,1.3365401248168944,349.352,0.3993,2.6115201590167487
7,0.66718,1.129961922531128,350.41,0.4592,2.313953622131591
8,0.71626,0.9425272985458374,349.808,0.4353,2.920224047770166
9,0.75642,0.786036710357666,350.649,0.4575,2.5709103163640212
